Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Anise seed 4 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise (Spain) 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9120164376325924,(E)-Anethole,0.88,Methyl chavicol,0.02,(E)-Cinnamyl aldehyde,0.0,Carvacrol,0.0,Ionol,0.0
"Backhousia anisata leaf 1 - Backhousia anisata Vickery (Chemotype 1), fam. Myrtaceae","Anise (Colombia) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9477852150368544,(E)-Anethole,0.95,Methyl chavicol,0.04,alpha-Pinene,0.0,alpha-Farnesene,0.0,Monoterpene hydrocarbons (unknown),0.0
"Clausena heptaphylla leaf (India) 1b - Clausena heptaphylla W&A, fam. Rutaceae","Anise (Colombia) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.940060685966078,(E)-Anethole,0.98,Methyl chavicol,0.01,(Z)-Anethole,0.0,Anisaldehyde,0.0,Linalool,0.0
"Fennel, bitter (Italy) 1 - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, bitter (Uzbekistan) - Foeniculum vulgare Miller, fam. Apiaceae (Umbelliferae)",0.9136203058227776,(E)-Anethole,0.85,Fenchone,0.06,Limonene,0.04,Methyl chavicol,0.02,alpha-Pinene,0.0
"Fennel, bitter (Uzbekistan) - Foeniculum vulgare Miller, fam. Apiaceae (Umbelliferae)","Fennel, bitter (Italy) 1 - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)",0.9136203058227776,(E)-Anethole,0.87,Fenchone,0.08,Methyl chavicol,0.03,Limonene,0.01,gamma-Terpinene,0.0
"Fennel, sweet (Italy) 1 - Foeniculum vulgare Miller, var. dulce DC, fam. Apiaceae (Umbelliferae)","Anise seed 4 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9135121600337172,(E)-Anethole,0.88,Methyl chavicol,0.04,Limonene,0.04,Fenchone,0.02,Anisaldehyde,0.01
"Fennel, sweet (Italy) 2 - Foeniculum vulgare Miller, var. dulce DC, fam. Apiaceae (Umbelliferae)","Star anise (China, Shangyou) 4 - Illicium verum Hooker fil., fam. Magnoliaceae (Illiciaceae)",0.9026488965035644,(E)-Anethole,0.87,Limonene,0.05,(Z)-Anethole,0.03,Fenchone,0.02,"1,8-Cineole",0.0
"Scandix australis - Scandix australis L., fam. Apiaceae (Umbelliferae)","Star anise (China) 2 - Illicium verum Hooker fil., fam. Magnoliaceae (Illiciaceae)",0.9303153444388298,(E)-Anethole,0.86,Methyl chavicol,0.08,trans-Isoosmorhizol,0.01,(Z)-beta-Ocimene,0.01,beta-Caryophyllene,0.01
"Star anise (China) 2 - Illicium verum Hooker fil., fam. Magnoliaceae (Illiciaceae)","Anise (Egypt) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9152996062700652,(E)-Anethole,0.86,Methyl chavicol,0.07,Linalool,0.02,Limonene,0.01,alpha-Pinene,0.01
"Star anise (China, Shangyou) 4 - Illicium verum Hooker fil., fam. Magnoliaceae (Illiciaceae)","Anise seed 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9063335938806094,(E)-Anethole,0.88,Limonene,0.02,Foeniculin,0.01,Linalool,0.01,delta-3-Carene,0.01
