Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_1602,BitInterpretations,Concentration
Thymus riatarum,1,DOI:10.3390/medicines3030019,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'O', 1, 'cO')]",0.223
Thymus richardii,1,DOI:10.3390/molecules28124803,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'O', 1, 'cO')]",0.131
Artemisia chamaemelifolia,1,DOI:10.1590/S0102-695X2013000600002,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'O', 1, 'cO')]",0.163
Thymus satureoides,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(10, 'O', 1, 'cO')]",0.2
Coridothymus capitatus,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'O', 1, 'cO')]",0.736
Origanum onites,1,DOI:10.1016/j.foodcont.2009.07.016,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'O', 1, 'cO')]",0.75
Bupleurum linearifolium,0,No Reference,C1=CC=CC2=C1C(=C(C(O2)=O)C(CC(C)=O)C3=CC=CC=C3)O,Coumarins,1,"[(22, 'O', 1, 'cO')]",0.183
Agathosma betulina,0,No Reference,CC(C)C1CCC(C)=C(O)C1=O,Diosphenol,1,"[(9, 'O', 1, 'CO')]",0.223
Pimenta dioica,1,DOI:10.1016/j.foodcont.2005.11.009,COC1=C(O)C=CC(CC=C)=C1,Eugenol,1,"[(4, 'O', 1, 'cO')]",0.87
Pimenta racemosa,1,DOI:10.5897/JMPR2017.6435,COC1=C(O)C=CC(CC=C)=C1,Eugenol,1,"[(4, 'O', 1, 'cO')]",0.527
Piper betle,1,DOI:10.12982/VIS.2022.042,COC1=C(O)C=CC(CC=C)=C1,Eugenol,1,"[(4, 'O', 1, 'cO')]",0.6356
Ocimum gratissimum,1,DOI:10.1016/j.micpath.2018.03.041,COC1=C(O)C=CC(CC=C)=C1,Eugenol,1,"[(4, 'O', 1, 'cO')]",0.2
Artemisia scoparia,1,DOI:10.1177/1934578X20915034,COC1=C(O)C=CC(CC=C)=C1,Eugenol,1,"[(4, 'O', 1, 'cO')]",0.3
Cinnamomum zeylanicum,1,10.1007/s10068-017-0241-9,COC1=C(O)C=CC(CC=C)=C1,Eugenol,1,"[(4, 'O', 1, 'cO')]",0.1335
Eugenia caryophyllus,1,DOI:10.1016/j.foodcont.2005.11.009,COC1=C(O)C=CC(CC=C)=C1,Eugenol,1,"[(4, 'O', 1, 'cO')]",0.643
Agathosma betulina,0,No Reference,CC1CCC(=C(C1=O)O)C(C)C,Isodiosphenol,1,"[(9, 'O', 1, 'CO')]",0.1858
Origanum glandulosum,1,DOI:10.1016/j.foodchem.2007.05.050,CC(C)c1ccc(C)cc1O,Thymol,1,"[(10, 'O', 1, 'cO')]",0.225
Thymus satureoides,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)cc1O,Thymol,1,"[(10, 'O', 1, 'cO')]",0.1
Lippia graveolens,1,DOI:10.3390/pathogens12101245,CC(C)c1ccc(C)cc1O,Thymol,1,"[(10, 'O', 1, 'cO')]",0.463
Thymus vulgaris,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)cc1O,Thymol,1,"[(10, 'O', 1, 'cO')]",0.272
Satureja thymbra,1,DOI:10.1080/14786410310001608145,CC(C)c1ccc(C)cc1O,Thymol,1,"[(10, 'O', 1, 'cO')]",0.66
Majorana hortensis,1,DOI:10.1155/2016/3694901,CC(C)c1ccc(C)cc1O,Thymol,1,"[(10, 'O', 1, 'cO')]",0.1155
Oliveria decumbens,1,DOI:10.21203/rs.3.rs-3164788/v1,CC(C)c1ccc(C)cc1O,Thymol,1,"[(10, 'O', 1, 'cO')]",0.372
Coleus aromaticus,1,DOI:10.1155/2012/457150,CC(C)c1ccc(C)cc1O,Thymol,1,"[(10, 'O', 1, 'cO')]",0.413
Thymus zygis,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x,CC(C)c1ccc(C)cc1O,Thymol,1,"[(10, 'O', 1, 'cO')]",0.5165
