Plant_Species
"Mentha citrata (Bergamot mint) (India) - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)"
"Mentha citrata (Bergamot mint) (Japan) 1 - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)"
"Mentha citrata (Bergamot mint) (Japan) 2 - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)"
"Mentha citrata (Bergamot mint) (USA) - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)"
"Mentha citrata (Bergamot mint) - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)"
"Mentha denticulata (Italy) - Mentha denticulata Strail (sensu Fiori), fam. Lamiaceae (Labiatae)"
"Mentha diemenica (Australia) - Mentha diemenica Sprengel, fam. Lamiaceae (Labiatae)"
"Mentha gentilis var. lanata - Mentha gentilis (L.) var. lanata (Rydb.) Fujita et Fujita, fam. Lamiaceae"
"Mentha grandiflora (Australia) - Mentha grandiflora Benth., fam. Lamiaceae (Labiatae)"
"Mentha haplocalyx (China) - Mentha haplocalyx Briq., fam. Lamiaceae (Labiatae)"
"Mentha longifolia (France) - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)"
"Mentha longifolia (France) Chemotype 1 - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)"
"Mentha longifolia (France) Chemotype 2 - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)"
"Mentha longifolia (Iran) 1 - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)"
"Mentha longifolia (Iran) 2 - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)"
"Mentha longifolia (Iran) 3 - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)"
Mentha longifolia (Iran) 3a flower - Mentha longifolia (L.) Hudson var. asiatica (Boriss.) Rech.f.fam.Lamiaceae
Mentha longifolia (Iran) 3b leaf - Mentha longifolia (L.) Hudson var. asiatica (Boriss.) Rech.f.fam.Lamiaceae
"Mentha longifolia (Israel) - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)"
"Mentha longifolia (Italy) - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)"
"Mentha longifolia (Jordan) - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)"
"Mentha longifolia (Lithuania) - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)"
"Mentha longifolia (The Netherlands) - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)"
"Mentha longifolia ssp. himalaiensis - Mentha longifolia (L.) Hudson, ssp. himalaiensis Briq., fam. Lamiaceae"
"Mentha longifolia ssp. longifolia (Greece) - Mentha longifolia (L.) ssp. longifolia, fam. Lamiaceae (Labiatae)"
"Mentha longifolia ssp. petiolata (Greece) 1 - Mentha longifolia (L.) ssp. petiolata (Chemotype I), fam. Lamiaceae"
"Mentha longifolia ssp. petiolata (Greece) 2 - Mentha longifolia (L.) ssp. petiolata (Chemotype II), fam. Lamiaceae"
"Mentha longifolia var. candicans (Italy) - Mentha longifolia (L.) var. candicans Crantz, fam. Lamiaceae (Labiatae)"
"Mentha longifolia var. crispa (Italy) - Mentha longifolia (L.) var. crispa Ten., fam. Lamiaceae (Labiatae)"
"Mentha requienii 1 - Mentha requienii Bentham, fam. Lamiaceae (Labiatae)"
"Mentha requienii 2 - Mentha requienii Bentham, fam. Lamiaceae (Labiatae)"
"Mentha rotundifolia (Greece) 1 - Mentha x rotundifolia (L.) Hudson (Chemotype I), fam. Lamiaceae (Labiatae)"
"Mentha rotundifolia (Greece) 2 - Mentha rotundifolia (L.) Hudson (Chemotype II), fam. Lamiaceae (Labiatae)"
"Mentha rotundifolia (Japan) - Mentha rotundifolia (L.) Hudson, fam. Lamiaceae (Labiatae)"
"Mentha spicata (Cuba) Chemotype - Mentha spicata L., fam. Lamiaceae (Labiatae)"
"Mentha spicata (Greece) Chemotype I - Mentha spicata L. (Chemotype I), fam. Lamiaceae (Labiatae)"
"Mentha spicata (Greece) Chemotype II - Mentha spicata L. (Chemotype II), fam. Lamiaceae (Labiatae)"
"Mentha spicata (Greece) Chemotype IIIa - Mentha spicata L. (Chemotype IIIa), fam. Lamiaceae (Labiatae)"
"Mentha spicata (Greece) Chemotype IIIb - Mentha spicata L. (Chemotype IIIb), fam. Lamiaceae (Labiatae)"
"Mentha spicata (Greece) Chemotype IV - Mentha spicata L. (Chemotype IV), fam Lamiaceae (Labiatae)"
"Mentha spicata (Nepal) crispa - Mentha spicata L., variety crispa Benth., fam. Lamiaceae (Labiatae)"
"Mentha suaveolens (Chemotype 1) - Mentha suaveolens Ehrh. (Chemotype 1), fam. Lamiaceae (Labiatae)"
"Mentha suaveolens (Chemotype 2) - Mentha suaveolens Ehrh. (Chemotype 2), fam. Lamiaceae (Labiatae)"
"Mentha suaveolens (Greece) - Mentha suaveolens Ehrh., fam Lamiacae (Labiatae)"
"Mentha sylvestris var. incana - Mentha sylvestris var. incana, fam Lamiacae (Labiatae)"
"Mentha viridis (Italy) - Mentha viridis (L.) lavanduliodora Sacco, fam Lamiaceae (Labiatae)"
"Mentha x dumetorum (Greece) - Mentha x dumetorum, fam Lamiaceae (Labiatae)"
"Mentha x gentilis - Mentha x gentilis L. (arvensis x spicata), fam. Lamiaceae (Labiatae)"
"Mentha x gentilis nm. hirtella - Mentha x gentilis (L.) nm hirtella Markl., fam Lamiaceae (Labiatae)"
"Mentha x spicata (Greece) - Mentha x spicata L., fam. Lamiaceae (Labiatae)"
"Mentha x verticillata (chemotype I) - Mentha x verticillata L. (Chemotype I), fam. Lamiaceae (Labiatae)"
"Mentha x verticillata (chemotype II) - Mentha x verticillata L. (Chemotype II), fam. Lamiaceae (Labiatae)"
"Mentha x verticillata (chemotype III) - Mentha x verticillata L. (Chemotype III), fam. Lamiaceae (Labiatae)"
Mentha x villosa (Belgium) - Mentha x villosa H. nm. alopecuroides (M. x alopecuroides; M. x velutina)
"Mentha x villosa (Greece) 1 - Mentha x villosa Hudson, fam. Lamiaceae (Labiatae)"
"Mentha x villosa (Greece) 2 - Mentha x villosa Hudson, fam. Lamiaceae (Labiatae)"
Mentha x villoso-nervata (Greece) 1 - Mentha x villoso-nervata Opiz (M.longifolia L. x M.spicata L.) (Chemot.I)
Mentha x villoso-nervata (Greece) 2 - Mentha x villoso-nervata Opiz (M.longifolia L. x M.spicata L.) (Chemot.II)
"Metrosideros robusta leaf - Metrosideros robusta A. Cunn., fam. Myrtaceae"
"Meyer lemon leaf (Russia) 1 - Citrus limon x Citrus sinensis, fam. Rutaceae"
"Meyer lemon leaf (Russia) 2 - Citrus limon x Citrus sinensis, fam. Rutaceae"
"Meyer lemon leaf (USA) - Citrus limon x Citrus sinensis, fam. Rutaceae"
"Michelia alba flower absolute (China) - Michelia alba DC., fam. Magnoliaceae"
"Michelia alba flower headspace (China) - Michelia alba DC., fam. Magnoliaceae"
"Michelia alba leaf (China) - Michelia alba DC., fam. Magnoliaceae"
"Michelia alba leaf (Japan) - Michelia alba DC., fam. Magnoliaceae"
"Michelia balansae flower headspace (China) - Michelia balansae (A. DC.) Dandy, fam. Magnoliaceae"
"Michelia champaca flower absolute - Michelia champaca L., fam. Magnoliaceae"
"Michelia champaca flower headspace (China) - Michelia champaca L., fam. Magnoliaceae"
"Michelia figo flower headspace (China) - Michelia figo (Lour.) Spreng, fam. Magnoliaceae"
"Michelia yunnanensis flower headspace (China) - Michelia yunnanensis Franch. ex Finet et Gagnep., fam. Magnoliaceae"
"Microglossa pyrrhopappa - Microglossa pyrrhopappa (A. Rich) Agnew var. Phyrropappa, fam. Asteraceae"
"Micromeria brownei - Micromeria brownei (Swartz) Benth. var. pilosiuscula Gray, fam. Lamiaceae"
"Micromeria carminea (Turkey) - Micromeria carminea P.H. Davis (syn.M.cristata), fam. Lamiaceae (Labiatae)"
"Micromeria congesta (Turkey) - Micromeria congesta Boiss. et Hausskn. ex Boiss., fam. Lamiaceae (Labiat."
"Micromeria graeca (Greece) - Micromeria graeca (L.) Bentham et Reichenb., fam. Lamiaceae (Labiatae)"
"Micromeria myrtifolia (Turkey) - Micromeria myrtifolia Boiss. et Hohen, fam. Lamiaceae (Labiatae)"
"Micromeria teneriffae - Micromeria teneriffae Benth. (M. terebinthaceae Webb et Berth.), Lamiaceae"
"Micromyrtus striata - Micromyrtus striata J.W. Green (M. ciliata (Sm) Druce), fam. Myrtaceae"
"Mikania cordata leaf - Mikania cordata (Burm.f.) B.L. Robinson var. cordata, fam. Asteraceae"
"Mimusops elengi flower headspace - Mimusops elengi L., fam. Sapotaceae"
"Minthostachys andina - Minthostachys andina (Brett) Epling, fam. Lamiaceae (Labiatae)"
"Minthostachys glabrescens - Minthostachys glabrescens Epling, fam. Lamiaceae (Labiatae)"
"Minthostachys mollis (Argentina) - Minthostachys mollis (Kunth.) Grisebach, fam. Lamiaceae (Labiatae)"
"Minthostachys mollis (Venezuela) - Minthostachys mollis (Kunth.) Grisebach, fam. Lamiaceae (Labiatae)"
"Minthostachys spicata - Minthostachys spicata (Benth.) Epl., fam Lamiaceae (Labiatae)"
"Mochiyuzu peel (Japan) - Citrus inflata Hort. ex Tanaka, fam. Rutaceae"
"Monarda didyma flower (France) - Monarda didyma L., fam. Lamiaceae (Labiatae)"
"Monarda didyma leaf (France) - Monarda didyma L., fam. Lamiaceae (Labiatae)"
"Monarda fistulosa, var. menthaefolia 1 - Monarda fistulosa L. var. menthaefolia, fam. Lamiaceae (Labiatae)"
"Monarda fistulosa, var. menthaefolia 2 - Monarda fistulosa L. var. menthaefolia, fam. Lamiaceae (Labiatae)"
"Monizia edulis - Monizia edulis Lowe [Melanoselinum edulis (Lowe) Drude], fam. Apiaceae"
"Monodora brevipes seed (Cameroon) - Monodora brevipes Benth., fam. Annonaceae"
"Monodora myristica fruit (Cameroon) - Monodora myristica (Gaertn.) Dunal, fam. Annonaceae"
"Muhuhu - Brachylaena hutchinsii Hutch. (Synchodendron hutchii Hutch.), Asteraceae"
"Mullilam - Zanthoxylum rhetsa D.C. syn. Z. limonella (Dennst.) Alston, fam. Rutaceae"
"Mullilam leaf (India) - Zanthoxylum rhetsa D.C. syn. Z. limonella (Dennst.) Alston, fam. Rutaceae"
"Mullilam seed (India) - Zanthoxylum rhetsa D.C. syn. Z. limonella (Dennst.) Alston, fam. Rutaceae"
"Murraya glaba (Vietnam) - Murraya glaba Guill., fam. Rutaceae"
"Murraya koenigii (India) - Murraya koenigii (L.) Spreng., fam. Rutaceae"
"Mustard seed (China) 1 - Brassica juncea (L.) Czern. et Coss., fam. Brassicaceae (Crucifereae)"
"Mustard seed (China) 2 - Brassica juncea (L.) Czern. et Coss., fam. Brassicaceae (Crucifereae)"
"Mustard, flowers - Brassica juncea (L.) Czern. et Coss., fam. Brassicaceae (Crucifereae)"
"Mustard, leaves & stems - Brassica juncea (L.) Czern. et Coss., fam. Brassicaceae (Crucifereae)"
"Mustard, root - Brassica juncea (L.) Czern. et Coss., fam. Brassicaceae (Crucifereae)"
"Myrceugenia alpigena (Brazil) - Myrceugenia alpigena (DC.) Landrum, fam. Myrtaceae"
"Myrceugenia miersiana (Brazil) - Myrceugenia miersiana (Gardner) D. Legrand et Kausel, fam. Myrtaceae"
"Myrceugenia myrcioides (Brazil) - Myrceugenia myrcioides (Cambess.) O. Berg, fam. Myrtaceae"
"Myrcianthes cisplatensis leaf (Uruguay) - Myrcianthes cisplatensis (Camb.) Berg., fam. Myrtaceae"
"Myrica cerifera leaf (Cuba) - Myrica cerifera L., fam. Myricaceae"
"Myrrh gum (headspace) - Commiphora myrrha (Nees) Engler, fam. Burseraceae"
"Myrrhinium atropurpureum leaf (Brazil) - Myrrhinium atropurpureum Schot, fam. Myrtaceae"
"Myrtle berry (Albania) - Myrtus communis L., fam. Myrtaceae"
"Myrtle berry (Croatia) - Myrtus communis L., fam. Myrtaceae"
"Myrtle berry (Italy) - Myrtus communis L., fam. Myrtaceae"
"Myrtle flower (Albania) - Myrtus communis L., fam. Myrtaceae"
"Myrtle flower (Croatia) - Myrtus communis L., fam. Myrtaceae"
"Myrtle flower (Morocco) - Myrtus communis L., fam. Myrtaceae"
"Myrtle flower (Spain) - Myrtus communis L., fam. Myrtaceae"
"Myrtle green fruits (Morocco) - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Albania) 1 - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Albania) 2 - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Croatia) - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (France) 1 - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (France) 2 - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (France) 3 - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Greece) - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Iran) - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Lebanon) - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Morocco) 1 - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Morocco) 2 - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Morocco) 3 - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Morocco) 4 - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Morocco), var. baetica - Myrtus communis L. var. baetica, fam. Myrtaceae"
"Myrtle leaf (Morocco), var. italica - Myrtus communis L. var. italica, fam. Myrtaceae"
"Myrtle leaf (Spain) - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Tunisia) - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Turkey) 1 - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Turkey) 2 - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Yugoslavia) 1 - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Yugoslavia) 2 - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf, cultivated (Spain) - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf, wildgrowing (Spain) - Myrtus communis L., fam. Myrtaceae"
"Myrtle mature fruits (Morocco) - Myrtus communis L., fam. Myrtaceae"
"Myrtle ripe fruits (Spain) - Myrtus communis L., fam. Myrtaceae"
"Myrtle unripe fruits (Spain) - Myrtus communis L., fam. Myrtaceae"
"Naoshichi (Japan) - Citrus taguma-sudachi Hort. ex Tanaka, fam. Rutaceae"
"Narcissus (Japan) 1a - Narcissus tazetta L. (N. poeticus L.), fam. Amarillidaceae"
"Narcissus (Japan) 1b - Narcissus tazetta L. (N. poeticus L.), fam. Amaryllidaceae"
"Narcissus poeticus absolute - Narcissus poeticus L., fam. Amaryllidaceae"
"Narcissus poeticus headspace - Narcissus poeticus L., fam. Amaryllidaceae"
"Narcissus tazetta (var. chinensis) - Narcissus tazetta L., var. chinensis, fam. Amaryllidaceae"
"Narcissus tazetta (var. chinensis) headspace - Narcissus tazetta L., var. chinensis, fam. Amarillidaceae"
"Narcissus tazetta (var. tazetta) absolute - Narcissus tazetta L., var. tazetta, fam. Amaryllidaceae"
"Narcissus tazetta absolute 1 - Narcissus tazetta L., fam. Amaryllidaceae"
"Narcissus tazetta absolute 2 - Narcissus tazetta L., fam. Amaryllidaceae"
"Narcissus tazetta absolute 3 - Narcissus tazetta L., fam. Amaryllidaceae"
"Narcissus tazetta absolute 4 - Narcissus tazetta L., fam. Amarillidaceae"
"Narcissus tazetta headspace (China) 1 - Narcissus tazetta L. var. chinensis Roem., fam. Amaryllidaceae"
"Narcissus tazetta headspace (China) 2 - Narcissus tazetta L. var chinensis Roem. f. florepleno, fam.Amaryllidaceae"
"Narcissus tazetta headspace (China) 3 - Narcissus tazetta L. var. chinensis Roem. ssp. aurens, fam. Amaryllidaceae"
"Narcissus tazetta headspace (China) 4 - Narcissus tazetta L. var. Xiaohuabai, fam. Amaryllidaceae"
"Narcissus tazetta headspace (China) 5 - Narcissus tazetta L. var. Dahuabai, fam. Amaryllidaceae"
"Neocinnamomum delavayi - Neocinnamomum delavayi (L. Lec.) Liou, fam. Lauraceae"
"Neolitsea australiensis leaf (Australia) - Neolitsea australiensis Kosterm., fam. Lauraceae"
"Neolitsea brassii leaf (Australia) - Neolitsea brassii Allen, fam. Lauraceae"
"Neolitsea dealbata leaf (Australia) - Neolitsea dealbata (R. Br.) Merr., fam. Lauraceae"
"Neolitsea oblongifolia (China) - Neolitsea oblongifolia Merr. et Chun., fam. Lauraceae"
"Neomitranthes cordifolia - Neomitranthes cordifolia (D. Legrand) D. Legrand, fam. Myrtaceae"
"Nepeta argolica (Greece) 1a chemotype 1 - Nepeta argolica Bory & Chaub. ssp. argolica, fam. Lamiaceae (Labiatae)"
"Nepeta argolica (Greece) 1b chemotype 2 - Nepeta argolica Bory & Chaub. ssp. argolica, fam. Lamiaceae (Labiatae)"
"Nepeta argolica (Greece) 2 - Nepeta argolica Bory et Chaub. ssp. argolica, fam. Lamiaceae (Labiatae)"
"Nepeta betonicifolia (Turkey) - Nepeta betonicifolia C.A. Meyer, fam. Lamiaceae (Labiatae)"
"Nepeta caesarea (Turkey) - Nepeta caesarea Boiss, fam. Lamiaceae (Labiatae)"
"Nepeta cataria (Argentina) - Nepeta cataria L., fam. Lamiaceae (Labiatae)"
"Nepeta cataria 1 - Nepeta cataria L., fam. Lamiaceae (Labiatae)"
"Nepeta cataria 2 - Nepeta cataria L. var. citriodora, fam. Lamiaceae (Labiatae)"
"Nepeta cataria 3 (China) - Nepeta cataria L., fam. Lamiaceae (Labiatae)"
"Nepeta cilicia - Nepeta cilicia Boiss., fam. Lamiaceae (Labiatae)"
"Nepeta crassifolia - Nepeta crassifolia Boiss. & Buhse, fam. Lamiaceae (Labiatae)"
"Nepeta faassenii - Nepeta faassenii Bergm. ex Stearn, fam. Lamiaceae (Labiatae)"
"Nepeta fissa (Iran) - Nepeta fissa C.A.Mey (N.microphylla Stapf, N.trautvetteri Boiss),Lamiaceae"
"Nepeta glomerulosa (Iran) - Nepeta glomerulosa Boiss., fam. Lamiaceae (Labiatae)"
"Nepeta heliotropifolia - Nepeta heliotropifolia Lam., fam. Lamiaceae (Labiatae)"
"Nepeta italica (Turkey) - Nepeta italica L., fam. Lamiaceae (Labiatae)"
"Nepeta nepetella - Nepeta nepetella L., fam. Lamiaceae (Labiatae)"
"Nepeta nuda (Belgium) - Nepeta nuda L., fam. Lamiaceae (Labiatae)"
"Nepeta nuda (Turkey) - Nepeta nuda L. ssp. albiflora (Boiss.) Gams, fam. Lamiaceae (Labiatae"
"Nepeta persica (Iran) - Nepeta persica Boiss, fam. Lamiaceae (Labiatae)"
"Nepeta racemosa (Iran) - Nepeta racemosa Lam. (syn. N. mussinii Spreng.), fam. Lamiaceae (Labiatae)"
"Nepeta sibirica - Nepeta sibirica L., fam. Lamiaceae (Labiatae)"
"Nepeta sulfuriflora (Turkey) - Nepeta sulfurifloral P.H. David, fam. Lamiaceae (Labiatae)"
"Nepeta viscida (Turkey) - Nepeta viscida Boiss., fam. Lamiaceae (Labiatae)"
"Neroli bigarade (bitter orange flower) 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) 2 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) Algeria - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) China 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) China 2 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) China 3 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) Egypt - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) Italy 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) Italy 2a - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) Italy 2b - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) Italy 3 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) Morocco - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) Spain 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) Spain 2 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) Spain 3 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) Tunesia 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Neroli bigarade (bitter orange flower) Tunisia 2 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Niaouli (Benin) 1a - Melaleuca quinquenervia (Cav.) S.T. Blake, fam. Myrtaceae"
"Niaouli (Benin) 1b - Melaleuca quinquenervia (Cav.) S.T. Blake, fam. Myrtaceae"
"Niaouli (Egypt) - Melaleuca quinquenervia (Cav.) S.T. Blake, fam. Myrtaceae"
"Niaouli (India) - Melaleuca quinquenervia (Cav.) S.T. Blake, fam. Myrtaceae"
"Niaouli (Madagascar) 1 - Melaleuca quinquenervia (Cav.) S.T. Blake, fam. Myrtaceae"
"Niaouli (Madagascar) 2 - Melaleuca quinquenervia (Cav.) S.T. Blake, fam. Myrtaceae"
"Niaouli (Madagascar) 3 - Melaleuca quinquenervia (Cav.) S.T. Blake, fam. Myrtaceae"
"Niaouli - Melaleuca quinquenervia (Cav.) S.T. Blake, fam. Myrtaceae"
"Nicotiana forgetiana flower - Nicotiana forgetiana Hort. ex Hensley (subgenus Petunioides), Solanaceae"
"Nicotiana rustica flower - Nicotiana rustica L, subgenus Rustica, var. brasilia, fam. Solanaceae"
"Nigella sativa seed - Nigella sativa L., fam. Ranunculaceae"
"Nira (Brazil) - Allium tuberosum Rottl., fam. Liliaceae"
"Nutmeg (Hainan Island) - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (India) 1 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (India) 2 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (India) 3 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (India) 4 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (India) 5a leaf - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (India) 5b flower - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (India) 6 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (India) 7 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (India) 8 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (India) 9 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (Indonesia) 1 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (Indonesia) 2 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (Indonesia) 3 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (Indonesia) 4 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (Jamaica) - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (Malaysia) - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (Sri Lanka) 1 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (Sri Lanka) 2 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (Sri Lanka) 3 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (Sri Lanka) 4 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (West Indies) 1 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (West Indies) 2 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (West Indies) 3 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (West Indies) 4 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg (West Irian) - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg 1 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg 2 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg 3 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg 4 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg 5a - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg 5b - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg 6 - Myristica fragrans Houtt., fam. Myristicaceae"
"Nutmeg 7 - Myristica fragrans Houtt., fam. Myrsticaceae"
"Nutmeg 8 - Myristica fragrans Houtt., fam. Myristicaceae"
"Oakmoss (Yugoslavia) 1 - Evernia prunastri (L.) Ach., fam. Usneaceae"
"Oakmoss (Yugoslavia) 2 - Evernia prunastri (L.) Ach., fam. Usneaceae"
"Oakmoss absolute (Morocco) - Evernia prunastri (L.) Ach., fam. Usneaceae"
"Ocimum basilicum, Methyl cinnamate type I - Ocimum basilicum L. (Chemotype I), fam. Lamiaceae (Labiatae)"
"Ocimum basilicum, Methyl cinnamate type II - Ocimum basilicum L. (Chemotype II), fam. Lamiaceae (Labiatae)"
"Ocimum basilicum, Methyl cinnamate type III - Ocimum basilicum L. (Chemotype III), fam. Lamiaceae (Labiatae)"
"Ocimum canum (Cameroon) - Ocimum canum Sims., fam. Lamiaceae (Labiatae)"
"Ocimum canum (camphor-type) 1 - Ocimum canum Sims., fam. Lamiaceae (Labiatae)"
"Ocimum canum (camphor-type) 2 - Ocimum canum Sims., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (Aruba) - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (Bangladesh) 1a - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (Bangladesh) 1b - Ocimum gratissimum L., var. clocimum, fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (Benin) 1 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (Benin) 2 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (Brazil) 1 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (Brazil) 2 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (Cameroon) 1 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (Cameroon) 2 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (China) 1 - Ocimum gratissimum L., var. suave, fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (China) 2 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (China) 3 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (China) 4 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (Cuba) 1a - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (Cuba) 1b - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (Cuba) 2a - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (Cuba) 2b - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (Cuba) 2c - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
"Ocimum gratissimum (Guinea) - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)"
