Plant_Species
"Ajowan (Iran) aerial part - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)"
"Ajowan (Iran) seed - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)"
"Ajowan (Pakistan) seed - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)"
"Ajowan 1 - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)"
"Ajowan 2 seed - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)"
"Ajuga chamaepitys (Iran) - Ajuga chamaepitys (L.) Schreb., fam. Lauraceae"
"Allium macrochatum (Turkey) - Allium macrochaetum Boiss. et Hausskn., fam. Liliaceae"
"Almond - Prunus dulcis (Miller) D.A. Webb (P. amygdalus Batsch, P. communis L.)"
"Alpinia calcarata 1a leaf - Alpinia calcarata Rosc., fam. Zingiberaceae"
"Alpinia calcarata 1b rhizome - Alpinia calcarata Rosc., fam. Zingiberaceae"
"Alpinia chinensis (China) - Alpinia chinensis Rosc., fam. Zingiberaceae"
"Alpinia chinensis flower (Vietnam) - Alpinia chinensis Rosc., fam. Zingiberaceae"
"Alpinia chinensis root (Vietnam) - Alpinia chinensis Rosc., fam. Zingiberaceae"
"Alpinia conchigera (Malaysia) - Alpinia conchigera Griff, fam. Zingiberaceae"
"Alpinia japonica - Alpinia japonica Miq., fam. Zingiberaceae"
"Alpinia katsumadai leaf (Vietnam) - Alpinia katsumadai Hayata L., fam. Zingiberaceae"
"Alpinia katsumadai seed (Vietnam) - Alpinia katsumadai Hayata L., fam. Zingiberaceae"
"Alpinia katsumadai stem (Vietnam) - Alpinia katsumadai Hayata L., fam. Zingiberaceae"
"Alpinia laosensis (Vietnam) - Alpinia laosensis Gagnep., fam. Zingiberaceae"
"Alpinia speciosa leaf (Egypt) - Alipinia speciosa (J.C. Wendl.) K. Schum., fam. Zingiberaceae"
"Alpinia speciosa rhizome (Egypt) - Alpinia speciosa (J.C. Wendl.) K.Schum., fam. Zingiberaceae"
"Alpinia speciosa stem (Egypt) - Alpinia speciosa (J.C. Wendl.) K.Schum., fam. Zingiberaceae"
"Alseuosmia macrophylla - Alseuosmia macrophylla A. Cunn, fam. Alseuosmiaceae"
"Alstonia scholaris - Alstonia scholaris (L.) R.Br., fam. Apocynaceae"
"Ambarella fruit (Brazil) - Spondias cytherea Sonnerat, fam. Anarcardiaceae"
"Ambarella fruit - Spondias cytherea Sonnerat (Ambarella), fam. Anacardiaceae"
"Ambrette seed (China) - Hibiscus abelmoschus L. (Abelmoschus moschatus Moench), fam. Malvaceae"
"Ambrette seed 1 - Hibiscus abelmoschus L. (Abelmoschus moschatus Moench), fam. Malvaceae"
"Ambrette seed 2 - Hibiscus abelmoschus L. (Abelmoschus moschatus Moench), fam. Malvaceae"
"Ambrette seed 3 - Hibiscus abelmoschus L. (Abelmoschus moschatus Moench), fam. Malvaceae"
"Ambrette seed 4 - Hibiscus abelmoschus L. (Abelmoschus moschatus Moench), fam. Malvaceae"
"Ambrette seed absolute - Hibiscus abelmoschus L. (Abelmoschus moschatus Moench), fam. Malvaceae"
"Ambrosia artemisiafolia - Ambrosia artemisiafolia (Catinga de bode), fam. Asteraceae (Compositae)"
"Ambrosia microcephala - Ambrosia microcephala DC., fam. Asteraceae (Compositae)"
"Amomum koenigii - Amomum koenigii J.F. Gmelin, fam. Zingiberaceae"
"Amomum linguiforme rhizome - Amomum linguiforme Benth., fam. Zingiberaceae"
"Amomum muricarpum - Amomum muricarpum Elm, fam. Zingiberaceae"
"Amomum pavieanum rhizome - Amomum pavieanum Pierre & Gagnep, fam. Zingiberaceae"
"Amomum ptycholimatum - Amomum ptycholimatum D. Fang, fam. Zingiberaceae"
"Amomum schmidtii - Amomum schmidtii Gagnep, fam. Zingiberaceae"
"Amomum testaceum fruit (Malaysia) - Amomum testaceum Ridl., fam. Zingiberaceae"
"Amomum tsao-ko (China) 1 - Amomum tsao-ko Crevost et Lemarie, fam. Zingiberaceae"
"Amomum tsao-ko (China) 2 - Amomum tsao-ko Crevost et Lemiare, fam. Zingiberaceae"
"Amomum tsao-ko (Vietnam) - Amomum tsao-ko Crevost et Lemarie, fam. Zingiberaceae"
"Amomum villosum (China) 1a - Amomum villosum Lour. var. xanthioides, fam. Zingiberaceae"
"Amomum villosum (China) 1b - Amomum villosum Lour., fam. Zingiberaceae"
"Amomum villosum (China) 1c - Amomum villosum Lour., fam. Zingiberaceae"
"Amomum villosum (China) 1d - Amomum villosum Lour., fam. Zingiberaceae"
"Amomum villosum (China) 1e - Amomum villosum Lour., fam. Zingiberaceae"
"Amomum villosum (China) 1f fruit - Amomum villosum Lour., fam. Zingiberaceae"
"Amomum villosum (China) 1g leaf - Amomum villosum Lour., fam. Zingiberaceae"
"Amomum villosum (China) 2a - Amomum villosum Lour., fam. Zingiberaceae"
"Amomum villosum (China) 2b - Amomum villosum Lour. var. xanthioides, fam. Zingiberaceae"
"Amomum villosum - Amomum villosum Lour., fam. Zingiberaceae"
"Amorpha fruticosa flower - Amorpha fruticosa L., fam. Papilionaceae"
"Amorpha fruticosa fruit - Amorpha fruticosa L., fam. Papilionaceae"
"Amorpha fruticosa leaf - Amorpha fruticosa L., fam. Papilionaceae"
"Amyris 1 - Amyris balsamifera L., fam. Rutaceae"
"Amyris 2 - Amyris balsamifera L., fam. Rutaceae"
"Angelica (norvegica) lateral root - Angelica archangelica L. var. norvegica, fam. Apiaceae (Umbelliferae)"
"Angelica (norvegica) root - Angelica archangelica L. ssp. archangelica var. norvegica, fam. Apiaceae"
"Angelica (norvegica) tap root - Angelica archangelica L. var. norvegica, fam. Apiaceae (Umbelliferae)"
"Angelica (sativa) fruit - Angelica archangelica L. var. sativa, fam. Apiaceae (Umbelliferae)"
"Angelica (sativa) lateral root - Angelica archangelica L. var. sativa, fam. Apiaceae (Umbelliferae)"
"Angelica (sativa) tap root - Angelica archangelica L. var. sativa, fam. Apiaceae (Umbelliferae)"
"Angelica root (Brazil) 1a hydrodistilled - Angelica archangelica L., fam. Apiaceae (Umbelliferae)"
"Angelica root (Brazil) 1b CO2 extract - Angelica archangelica L., fam. Apiaceae (Umbelliferae)"
"Angelica root (Finland) 1 - Angelica archangelica L., fam. Apiaceae (Umbelliferae)"
"Angelica root (Finland) 2 - Angelica archangelica L., fam. Apiaceae (Umbelliferae)"
"Angelica root (Finland) 3 - Angelica archangelica L. var. sativa, fam. Apiaceae (Umbelliferae)"
"Angelica root (Finland) 4 - Angelica archangelica L. var. archangelica, fam. Apiaceae (Umbelliferae)"
"Angelica root (France) 1 - Angelica archangelica L., fam. Apiaceae (Umbelliferae)"
"Angelica root 1 - Angelica archangelica L., fam. Apiaceae (Umbelliferae)"
"Angelica root 2 - Angelica archangelica L., fam. Apiaceae (Umbelliferae)"
"Angelica seed 1 - Angelica archangelica L., fam. Apiaceae (Umbelliferae)"
"Angelica seed 2 - Angelica archangelica L., fam. Apiaceae (Umbelliferae)"
"Aniba canellila - Aniba canelilla (H.B.K.) Mez, fam. Lauraceae"
"Aniba riparia (Brazil) 1a leaf - Aniba riparia (Nees) Mez, fam. Lauraceae"
"Aniba riparia (Brazil) 1b branch - Aniba riparia (Nees) Mez, fam. Lauraceae"
"Aniba riparia (Brazil) 1c bark wood - Aniba riparia (Nees) Mez, fam. Lauraceae"
"Aniba riparia (Brazil) 1d trunk wood - Aniba riparia (Nees) Mez, fam. Lauraceae"
"Anise (Colombia) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)"
"Anise (Egypt) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)"
"Anise (Spain) 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)"
"Anise (Spain) 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)"
"Anise (Turkey) 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)"
"Anise (Turkey) 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)"
"Anise (USSR) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)"
"Anise herb - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)"
"Anise root - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)"
