Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Lemon (Brazil) 2 - Citrus limon (L.) Burm. f., cultivar Eureka, fam. Rutaceae","Lemon (Brazil) 1 - Citrus limon (L.) Burm. f., cultivar Sicilian, fam. Rutaceae",0.9463245075973624,Limonene,0.67,beta-Pinene,0.14,gamma-Terpinene,0.03,alpha-Pinene,0.03,Geranial,0.02
"Lemon (France-Corsica) 1a Lisbon - Citrus limon (L.) Burm. f., cultivar Eureka, fam. Rutaceae","Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9479860673514556,Limonene,0.7,beta-Pinene,0.12,gamma-Terpinene,0.06,Sabinene,0.02,alpha-Pinene,0.02
"Lemon (France-Corsica) 1b Fino - Citrus limon (L.) Burm. f., cultivar Fino, fam. Rutaceae","Lemon (France-Corsica) 1d Berna - Citrus limon (L.) Burm. f., cultivar Berna, fam. Rutaceae",0.9222457503423754,Limonene,0.66,beta-Pinene,0.11,para-Cymene,0.06,gamma-Terpinene,0.02,Geranial,0.02
"Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae","Lemon (France-Corsica) 1d Lisbon - Citrus limon (L.) Burm. f., cultivar Lisbon, fam. Rutaceae",0.90469527282208,Limonene,0.65,beta-Pinene,0.13,gamma-Terpinene,0.09,Geranial,0.02,Sabinene,0.02
"Lemon (France-Corsica) 1d Berna - Citrus limon (L.) Burm. f., cultivar Berna, fam. Rutaceae","Lemon (France-Corsica) 1b Fino - Citrus limon (L.) Burm. f., cultivar Fino, fam. Rutaceae",0.9222457503423754,Limonene,0.63,beta-Pinene,0.14,para-Cymene,0.05,gamma-Terpinene,0.03,Geranial,0.02
"Lemon (France-Corsica) 1d Lisbon - Citrus limon (L.) Burm. f., cultivar Lisbon, fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.90469527282208,Limonene,0.62,beta-Pinene,0.14,gamma-Terpinene,0.11,Sabinene,0.02,alpha-Pinene,0.01
"Lemon (France-Corsica) 1e Corpaci - Citrus limon (L.) Burm. f., cultivar Corpaci, fam. Rutaceae","Lemon (France-Corsica) 1b Fino - Citrus limon (L.) Burm. f., cultivar Fino, fam. Rutaceae",0.9090788786835936,Limonene,0.62,beta-Pinene,0.12,para-Cymene,0.07,Geranial,0.03,gamma-Terpinene,0.02
"Lemon (France-Corsica) 1f Santa Teresa - Citrus limon (L.) Burm. f., cultivar Santa Teresa, fam. Rutaceae","Lemon (France-Corsica) 1b Fino - Citrus limon (L.) Burm. f., cultivar Fino, fam. Rutaceae",0.9295864403742946,Limonene,0.63,beta-Pinene,0.12,para-Cymene,0.06,gamma-Terpinene,0.03,Geranial,0.02
"Lemon (France-Corsica) 1g Lapithou - Citrus limon (L.) Burm. f., cultivar Lapithou, fam. Rutaceae","Lemon (France-Corsica) 1d Berna - Citrus limon (L.) Burm. f., cultivar Berna, fam. Rutaceae",0.9204824605212352,Limonene,0.61,beta-Pinene,0.15,para-Cymene,0.07,gamma-Terpinene,0.03,Sabinene,0.02
"Lemon (France-Corsica) 1h Menton - Citrus limon (L.) Burm. f., cultivar Menton, fam. Rutaceae","Lemon (France-Corsica) 1g Lapithou - Citrus limon (L.) Burm. f., cultivar Lapithou, fam. Rutaceae",0.9202036490559328,Limonene,0.58,beta-Pinene,0.16,para-Cymene,0.08,alpha-Pinene,0.02,Sabinene,0.02
"Lemon (Israel) - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9305107820957118,Limonene,0.72,beta-Pinene,0.09,gamma-Terpinene,0.08,alpha-Pinene,0.02,Myrcene,0.02
"Lemon (Italy-Sardinia) - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (Israel) - Citrus limon (L.) Burm. f., fam. Rutaceae",0.924007301004524,Limonene,0.73,gamma-Terpinene,0.08,beta-Pinene,0.06,Geranial,0.02,Geranyl acetate,0.02
"Lemon (Italy-Sicily)  1 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.926857557566246,Limonene,0.68,beta-Pinene,0.12,gamma-Terpinene,0.07,alpha-Pinene,0.02,Sabinene,0.02
"Lemon (Italy-Sicily)  2 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.910978678848838,Limonene,0.67,beta-Pinene,0.11,gamma-Terpinene,0.1,alpha-Pinene,0.02,Geranial,0.01
"Lemon (Italy-Sicily)  3 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.9214986620309576,Limonene,0.63,beta-Pinene,0.12,gamma-Terpinene,0.1,alpha-Pinene,0.02,Myrcene,0.02
"Lemon (Italy-Sicily)  4 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.964735640678258,Limonene,0.65,beta-Pinene,0.12,gamma-Terpinene,0.1,Sabinene,0.02,alpha-Pinene,0.02
"Lemon (Italy-Sicily)  5 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.97082132024947,Limonene,0.66,beta-Pinene,0.13,gamma-Terpinene,0.09,Sabinene,0.02,alpha-Pinene,0.02
"Lemon (Italy-Sicily)  6 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.9415300171065244,Limonene,0.63,beta-Pinene,0.14,gamma-Terpinene,0.1,Sabinene,0.02,alpha-Pinene,0.02
"Lemon (Italy-Sicily)  8 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.9430177992014062,Limonene,0.65,beta-Pinene,0.11,gamma-Terpinene,0.09,Geranial,0.02,alpha-Pinene,0.02
"Lemon (Italy-Sicily)  9 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.9000346716792518,Limonene,0.62,beta-Pinene,0.12,gamma-Terpinene,0.11,Sabinene,0.02,alpha-Pinene,0.02
"Lemon (Italy-Sicily) 10 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.94995276818574,Limonene,0.66,beta-Pinene,0.14,gamma-Terpinene,0.09,alpha-Pinene,0.02,Geranial,0.01
"Lemon (Italy-Sicily) 11 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.939608193922318,Limonene,0.66,beta-Pinene,0.14,gamma-Terpinene,0.09,alpha-Pinene,0.02,Myrcene,0.01
"Lemon (Italy-Sicily) 12a Femminello - Citrus limon (L.) Burm. f., cultivar Femminello, fam. Rutaceae","Lemon (France-Corsica) 1d Lisbon - Citrus limon (L.) Burm. f., cultivar Lisbon, fam. Rutaceae",0.9699042521276786,Limonene,0.62,beta-Pinene,0.14,gamma-Terpinene,0.1,Sabinene,0.02,alpha-Pinene,0.02
"Lemon (Italy-Sicily) 12b Lo Porto - Citrus limon (L.) Burm. f., cultivar Lo Porto, fam. Rutaceae","Lemon (Italy-Sicily)  3 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9140192723366748,Limonene,0.62,gamma-Terpinene,0.12,beta-Pinene,0.1,Geranial,0.02,Sabinene,0.02
"Lemon (Italy-Sicily) 12c Monachello - Citrus limon (L.) Burm. f., cultivar Monachello, fam. Rutaceae","Lemon (France-Corsica) 1d Lisbon - Citrus limon (L.) Burm. f., cultivar Lisbon, fam. Rutaceae",0.964544835774036,Limonene,0.61,beta-Pinene,0.13,gamma-Terpinene,0.11,Sabinene,0.02,alpha-Pinene,0.02
"Lemon (Italy-Sicily) 13 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9130819168834176,Limonene,0.68,beta-Pinene,0.13,gamma-Terpinene,0.1,Sabinene,0.02,alpha-Pinene,0.02
"Lemon (Italy-Sicily) 14a Sfumatrice method - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1d Lisbon - Citrus limon (L.) Burm. f., cultivar Lisbon, fam. Rutaceae",0.9379631859360578,Limonene,0.62,beta-Pinene,0.16,gamma-Terpinene,0.1,alpha-Pinene,0.02,Myrcene,0.02
"Lemon (Italy-Sicily) 14b Pelatrice method - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1d Lisbon - Citrus limon (L.) Burm. f., cultivar Lisbon, fam. Rutaceae",0.9376554872261592,Limonene,0.61,beta-Pinene,0.16,gamma-Terpinene,0.1,alpha-Pinene,0.02,Geranial,0.02
"Lemon (Italy-Sicily) 14c FMC method - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1d Lisbon - Citrus limon (L.) Burm. f., cultivar Lisbon, fam. Rutaceae",0.9038317930473516,Limonene,0.6,beta-Pinene,0.18,gamma-Terpinene,0.1,alpha-Pinene,0.02,Myrcene,0.02
"Lemon (Italy-Sicily) 14d Torchi method - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.9071706261405652,Limonene,0.63,beta-Pinene,0.16,gamma-Terpinene,0.1,alpha-Pinene,0.02,Myrcene,0.02
"Lemon (Italy-Sicily) 15a Femminello siracusano - Citrus limon (L.) Burm. f., cultivar Femminello siracusano, fam. Rutaceae","Clementine x Lemon (Italy) 1 - Citrus clementina Hort. ex Tan. x Citrus limon (L.) Burm., fam. Rutaceae",0.9207752836312316,Limonene,0.72,gamma-Terpinene,0.09,beta-Pinene,0.06,Sabinene,0.02,Myrcene,0.02
"Lemon (Italy-Sicily) 15b Femminello continella - Citrus limon (L.) Burm. f., cultivar Femminello continella, fam. Rutaceae","Lemon (Israel) - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9018863425290096,Limonene,0.76,beta-Pinene,0.08,gamma-Terpinene,0.07,Myrcene,0.02,alpha-Pinene,0.02
"Lemon (Italy-Sicily) 15c Femminello incappuciato - Citrus limon (L.) Burm. f., cultivar Femminello incappuciato, fam.Rutaceae","Lemon (Italy-Sicily)  8 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9093187112852644,Limonene,0.66,gamma-Terpinene,0.1,beta-Pinene,0.08,Geranial,0.04,Neral,0.02
"Lemon (Japan) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9218911374513294,Limonene,0.72,beta-Pinene,0.1,gamma-Terpinene,0.06,Neryl acetate,0.02,Neral,0.02
"Lemon (Japan) 3 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.9303992681170444,Limonene,0.67,beta-Pinene,0.12,gamma-Terpinene,0.08,alpha-Terpinene,0.03,Sabinene,0.02
"Lemon (Japan) 4 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.9355971183607572,Limonene,0.64,beta-Pinene,0.14,gamma-Terpinene,0.1,alpha-Pinene,0.03,Sabinene,0.02
"Lemon (Spain) 2 - Citrus limon (L.) Burm. f., cultivar Fino, fam. Rutaceae","Lemon (Spain) 5 - Citrus limon (L.) Burm. f., cultivar Lisbon, fam. Rutaceae",0.91864314050978,Limonene,0.6,gamma-Terpinene,0.1,alpha-Terpineol,0.08,beta-Pinene,0.06,para-Cymene,0.02
"Lemon (Spain) 3 - Citrus limon (L.) Burm. f., cultivar Eureka, fam. Rutaceae","Lemon (Spain) 4 - Citrus limon (L.) Burm. f., cultivar Villafranca, fam. Rutaceae",0.9446763932544772,Limonene,0.66,gamma-Terpinene,0.1,beta-Pinene,0.08,alpha-Terpineol,0.04,Myrcene,0.02
"Lemon (Spain) 4 - Citrus limon (L.) Burm. f., cultivar Villafranca, fam. Rutaceae","Lemon (Spain) 3 - Citrus limon (L.) Burm. f., cultivar Eureka, fam. Rutaceae",0.9446763932544772,Limonene,0.65,gamma-Terpinene,0.1,beta-Pinene,0.07,alpha-Terpineol,0.06,Myrcene,0.02
"Lemon (Spain) 5 - Citrus limon (L.) Burm. f., cultivar Lisbon, fam. Rutaceae","Lemon (Spain) 2 - Citrus limon (L.) Burm. f., cultivar Fino, fam. Rutaceae",0.91864314050978,Limonene,0.62,gamma-Terpinene,0.12,beta-Pinene,0.07,alpha-Terpineol,0.06,Myrcene,0.02
"Lemon (Spain) 7 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.9303982332209084,Limonene,0.66,beta-Pinene,0.1,gamma-Terpinene,0.1,alpha-Pinene,0.02,Sabinene,0.02
"Lemon (USA) - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.942936955426484,Limonene,0.69,beta-Pinene,0.1,gamma-Terpinene,0.09,alpha-Pinene,0.02,Sabinene,0.02
"Lemon (USA-California) - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.9509074556711956,Limonene,0.66,beta-Pinene,0.11,gamma-Terpinene,0.08,Sabinene,0.02,alpha-Pinene,0.02
"Lemon (Uraguay) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9489420715017768,Limonene,0.69,beta-Pinene,0.11,gamma-Terpinene,0.09,alpha-Pinene,0.02,Myrcene,0.02
"Lemon (Uruguay) 2 - Citrus limon (L.) Burm. f., cultivar Vernia, fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.9377233049564822,Limonene,0.65,beta-Pinene,0.13,gamma-Terpinene,0.11,alpha-Pinene,0.02,Geranial,0.02
"Lemon (Uruguay) 3 - Citrus limon (L.) Burm. f., cultivar Eureka, fam. Rutaceae","Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9679268749795348,Limonene,0.7,beta-Pinene,0.12,gamma-Terpinene,0.07,Geranial,0.02,alpha-Pinene,0.02
"Lemon (Uruguay) 4 - Citrus limon (L.) Burm. f., cultivar Mesaro, fam. Rutaceae","Lemon (France-Corsica) 1c Limoneira - Citrus limon (L.) Burm. f., cultivar Limoneira, fam. Rutaceae",0.9396388146400472,Limonene,0.66,beta-Pinene,0.11,gamma-Terpinene,0.08,Geranial,0.03,alpha-Pinene,0.02
"Lemon (Uruguay) 5 - Citrus limon (L.) Burm. f., cultivar Lisbon, fam. Rutaceae","Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.92605541176406,Limonene,0.68,beta-Pinene,0.12,gamma-Terpinene,0.08,Geranial,0.02,alpha-Pinene,0.02
"Lemon (Uruguay) 6 - Citrus limon (L.) Burm. f., cultivar Ferres, fam. Rutaceae","Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9377113544306486,Limonene,0.68,beta-Pinene,0.11,gamma-Terpinene,0.09,Geranial,0.02,alpha-Pinene,0.02
"Lemon (Uruguay) 7 - Citrus limon (L.) Burm. f., cultivar Vila, fam. Rutaceae","Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9498842112868636,Limonene,0.69,beta-Pinene,0.11,gamma-Terpinene,0.09,Geranial,0.02,alpha-Pinene,0.02
"Lemon (Uruguay) 8a - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9029388850214364,Limonene,0.67,beta-Pinene,0.14,gamma-Terpinene,0.09,alpha-Pinene,0.02,Myrcene,0.02
"Lemon (Uruguay) 8b - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (Argentina) 2 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9027710657793672,Limonene,0.67,beta-Pinene,0.14,gamma-Terpinene,0.09,alpha-Pinene,0.02,Myrcene,0.01
"Lemon 1 - Citrus limon (L.) Burm. f., cultivar Eureka, fam. Rutaceae","Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9329376029935,Limonene,0.72,beta-Pinene,0.1,gamma-Terpinene,0.1,Myrcene,0.02,alpha-Pinene,0.01
"Lemon 2 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (Italy-Sicily)  8 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9023238922424848,Limonene,0.65,beta-Pinene,0.09,gamma-Terpinene,0.09,Citral,0.03,alpha-Pinene,0.02
"Lime (Mexican, West Indian, Key) (Vietnam) - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Citrus pennivesiculata peel, Moi - Citrus pennivesiculata (Luash.) Tan., cultivar Moi, fam. Rutaceae",0.9263710472147936,Limonene,0.71,gamma-Terpinene,0.12,beta-Pinene,0.04,Myrcene,0.02,alpha-Farnesene,0.02
"Lime (Persian) (Japan) - Citrus latifolia Tanaka, fam. Rutaceae","Lime (Persian) 1 - Citrus latifolia Tanaka, fam. Rutaceae",0.917492344036072,Limonene,0.52,gamma-Terpinene,0.17,beta-Pinene,0.13,alpha-Pinene,0.03,Geranial,0.02
"Lime (Persian) 1 - Citrus latifolia Tanaka, fam. Rutaceae","Lime (Persian) (Japan) - Citrus latifolia Tanaka, fam. Rutaceae",0.917492344036072,Limonene,0.52,gamma-Terpinene,0.14,beta-Pinene,0.12,Geranial,0.03,Sabinene,0.02
"Mandarin (Brazil) - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae","Mandarin (Italy) 4 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.9040860404041235,Limonene,0.72,gamma-Terpinene,0.14,alpha-Pinene,0.05,beta-Pinene,0.02,Myrcene,0.02
"Mandarin (Italy) 1 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae","Mandarin (Italy) 2 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.9456466279854728,Limonene,0.7,gamma-Terpinene,0.2,alpha-Pinene,0.02,Myrcene,0.02,beta-Pinene,0.02
"Mandarin (Italy) 2 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae","Mandarin (Italy) 1 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.9456466279854728,Limonene,0.72,gamma-Terpinene,0.19,alpha-Pinene,0.02,Myrcene,0.02,beta-Pinene,0.02
"Mandarin (Italy) 4 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae","Mandarin (Brazil) - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.9040860404041235,Limonene,0.75,gamma-Terpinene,0.16,beta-Pinene,0.02,alpha-Pinene,0.02,Myrcene,0.02
"Mandarin (Italy) 5 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae","Mandarin (Brazil) - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.909748930010617,Limonene,0.7,gamma-Terpinene,0.18,alpha-Pinene,0.03,para-Cymene,0.02,Myrcene,0.02
"Mandarin (Italy) 6 distilled - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae","Mandarin (Italy) 1 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.9770138187887172,Limonene,0.7,gamma-Terpinene,0.19,alpha-Pinene,0.02,beta-Pinene,0.02,Myrcene,0.02
"Mandarin (Italy) 7 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutacaea","Mandarin 2 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.914760803984465,Limonene,0.66,gamma-Terpinene,0.19,para-Cymene,0.04,alpha-Pinene,0.02,beta-Pinene,0.02
"Mandarin (Italy) 8 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae","Citron (Italy) peel 1a - Citrus medica L., cultivar Diamante, fam. Rutaceae",0.9010267486037064,Limonene,0.59,gamma-Terpinene,0.22,Myrcene,0.02,beta-Pinene,0.02,alpha-Thujene,0.02
"Mandarin (Spain) 1 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae","Mandarin (Italy) 4 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.90890870936915,Limonene,0.77,gamma-Terpinene,0.14,Sabinene,0.02,alpha-Pinene,0.02,beta-Pinene,0.01
"Mandarin 1 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae","Mandarin (Spain) 1 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.9148947062913758,Limonene,0.77,gamma-Terpinene,0.12,para-Cymene,0.02,alpha-Pinene,0.02,Myrcene,0.02
"Mandarin 2 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae","Mandarin (Italy) 1 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.9286868694294218,Limonene,0.69,gamma-Terpinene,0.18,para-Cymene,0.02,alpha-Pinene,0.02,Myrcene,0.02
"Mandarin 3 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae","Mandarin 1 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.9030217894232256,Limonene,0.75,gamma-Terpinene,0.09,Myrcene,0.02,para-Cymene,0.02,Linalool,0.02
"Mapo tangelo - Citrus ssp. Mapo tangelo, fam. Rutaceae","Mandarin (Italy) 2 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.9424017303193212,Limonene,0.73,gamma-Terpinene,0.17,Myrcene,0.02,alpha-Pinene,0.02,beta-Pinene,0.01
"Shima-mikan peel 1a - Citrus kinokuni Hort. ex Tanaka, fam. Rutaceae","Mandarin (Brazil) - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.9291692865262008,Limonene,0.71,gamma-Terpinene,0.15,alpha-Pinene,0.02,Myrcene,0.02,beta-Pinene,0.01
"Shima-mikan peel 1b - Citrus kinokuni Hort. ex Tanaka, fam. Rutaceae","Mandarin (Brazil) - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.91644871260272,Limonene,0.73,gamma-Terpinene,0.14,Myrcene,0.02,alpha-Pinene,0.02,para-Cymene,0.01
